"Directory","SizeMB","Files"
"F:\甲壳动物数据库\ncbi_metadata","64.63","18"
"F:\甲壳动物数据库\reports","142.91","805"
"F:\甲壳动物数据库\sequences","755.33","3754"
"F:\甲壳动物数据库\downloads","295.56","685"
"F:\甲壳动物数据库\backups","20577.03","156"
"F:\甲壳动物数据库\releases","652.24","111"
"F:\甲壳动物数据库\public_downloads","78.84","443"
"F:\甲壳动物数据库\maintenance_archive","6.04","184"
"F:\甲壳动物数据库\literature_curation_v2","7.12","34"
"F:\甲壳动物数据库\external_data","295.91","7534"
"F:\甲壳动物数据库\__pycache__","2.28","132"
"F:\甲壳动物数据库\cdhit-4.8.1","2.78","112"
"F:\甲壳动物数据库\tools","511.62","62"
"F:\甲壳动物数据库\blastdb","1.72","1"
